Address,Count
4700 KEELE ST,22836
15 MARINE PARADE DR,3416
2075 BAYVIEW AVE,3272
70 DISTILLERY LANE,3221
31 A PARLIAMENT STREET,3215
2183 LAKE SHORE BLVD W,3079
550 WELLINGTON ST W,2697
1265 MILITARY TRL,2452
20 EDWARD ST,2452
JAMES ST,2292
1 CHERRY ST,2248
202 JARVIS ST,2207
4001 LESLIE ST,2196
576 FRONT ST W,2169
199 RICHMOND ST W,2053
16 BROOKERS LANE,1980
18 HENDON AVENUE,1968
FRONT ST E,1965
241 JARVIS ST,1944
20 LOMBARD ST,1942
15 MCMURRICH ST,1938
160 MARINE PARADE DR,1869
WELLINGTON ST W,1789
2200 LAKESHORE BLVD W,1770
45 ABELL ST,1769
LA PLANTE AVE,1761
38 JOE SHUSTER WAY,1748
273 BLOOR ST W,1727
2 EVA RD,1695
19 GRAND TRUNK CRES,1671
GERRARD ST E,1640
31A PARLIAMENT ST,1606
30 NELSON ST,1578
YONGE ST,1570
50 ORDNANCE ST,1551
20 ASHBRIDGES BAY PARK ROAD,1541
890 WILLOWDALE AVENUE,1502
1235 WILSON AVE,1495
75 PORTLAND ST,1469
ALBERT ST,1449
EASTERN AVE,1415
10 EDWARD ST,1414
30 GRAND TRUNK CRES,1384
MUTUAL ST,1370
275 YORKLAND RD,1343
18 GRENVILLE ST,1337
DANFORTH AVE,1331
100 COOPERAGE ST.,1320
244 VICTORIA ST,1307
20 JOE SHUSTER WAY,1305
QUEEN ST E,1294
VICTORIA ST,1288
150 DAN LECKIE WAY,1277
100 MAITLAND ST,1270
1675 LAKE SHORE BLVD E,1255
38 ELM ST,1239
56 ANNIE CRAIG DR,1236
50 WILSON HEIGHTS BLVD.,1235
75 EAST LIBERTY ST,1230
150 GERRARD ST W,1227
2225 LAKE SHORE BLVD W,1195
30 MEADOWGLEN PL,1179
393 UNIVERSITY AVE,1171
570 BAY ST,1166
130 PEARL ST,1157
19 WESTERN BATTERY RD,1153
5 VALHALLA INN RD,1148
40 ROLLING MILLS RD,1148
30 BOND ST,1145
33 ELMHURST AVE,1141
90 YORKVILLE AVE,1138
77 MUTUAL ST,1133
OAK ST,1124
390 QUEENS QUAY W,1120
40 ORCHARD VIEW BLVD,1118
103 THE QUEENSWAY,1116
1 BRIMLEY RD S,1113
25 JOE SHUSTER WAY,1111
85 QUEENS WHARF RD,1105
140 SIMCOE ST,1103
88 SCOTT ST,1102
20 SHORE BREEZE DR,1102
200 SHERWAY DR,1101
400 MUNSTER AVENUE,1097
180 CHALKFARM DR,1097
30 ORDNANCE ST,1097
555 RICHMOND ST W,1094
10 WILLOWRIDGE RD,1089
PEARL ST,1087
68 ABELL ST,1079
409 CHURCH ST,1075
YORK ST,1070
2075 BAYVIEW AV,1068
20 LOMOND DRIVE,1058
2 LOMBARD ST,1052
1561 LAKE SHORE BLVD E,1042
EDWARD ST,1041
69 LYNN WILLIAMS ST,1037
460 ADELAIDE ST E,1028
75 QUEENS WHARF RD,1027
12 BONNYCASTLE ST,1023
38 IANNUZZI ST,1019
31 TIPPETT RD,1018
171 EAST LIBERTY ST,1012
7 GRENVILLE ST,1008
180 FAIRVIEW MALL DR,1006
158 VICTORIA ST,1003
