Issue_Date,Total Fine
2022-01-01,88930
2022-01-02,135365
2022-01-03,82210
2022-01-04,248770
2022-01-05,229880
2022-01-06,218825
2022-01-07,232980
2022-01-08,205100
2022-01-09,152200
2022-01-10,251055
2022-01-11,248695
2022-01-12,274255
2022-01-13,256920
2022-01-14,253700
2022-01-15,170150
2022-01-16,156570
2022-01-17,16100
2022-01-18,79220
2022-01-19,170705
2022-01-20,209535
2022-01-21,214805
2022-01-22,165805
2022-01-23,136665
2022-01-24,196175
2022-01-25,215590
2022-01-26,216685
2022-01-27,220145
2022-01-28,221895
2022-01-29,164055
2022-01-30,143370
2022-01-31,254175
2022-02-01,243815
2022-02-02,214770
2022-02-03,183555
2022-02-04,155325
2022-02-05,117500
2022-02-06,75720
2022-02-07,204275
2022-02-08,233320
2022-02-09,196140
2022-02-10,153980
2022-02-11,140075
2022-02-12,114630
2022-02-13,108640
2022-02-14,219935
2022-02-15,238900
2022-02-16,254675
2022-02-17,193675
2022-02-18,129200
2022-02-19,104840
2022-02-20,100245
2022-02-21,100410
2022-02-22,230080
2022-02-23,256050
2022-02-24,258765
2022-02-25,195775
2022-02-26,173100
2022-02-27,152360
2022-02-28,262915
2022-03-01,268150
2022-03-02,275220
2022-03-03,298300
2022-03-04,334795
2022-03-05,241140
2022-03-06,193845
2022-03-07,271770
2022-03-08,319305
2022-03-09,331340
2022-03-10,327665
2022-03-11,285885
2022-03-12,236090
2022-03-13,213150
2022-03-14,286340
2022-03-15,275890
2022-03-16,299930
2022-03-17,298645
2022-03-18,312530
2022-03-19,236490
2022-03-20,197355
2022-03-21,318945
2022-03-22,332000
2022-03-23,297830
2022-03-24,306925
2022-03-25,312610
2022-03-26,255410
2022-03-27,187435
2022-03-28,287455
2022-03-29,312240
2022-03-30,309855
2022-03-31,309390
2022-04-01,342865
2022-04-02,248900
2022-04-03,202360
2022-04-04,327545
2022-04-05,336480
2022-04-06,347995
2022-04-07,320065
2022-04-08,343640
2022-04-09,275275
2022-04-10,187155
2022-04-11,303165
2022-04-12,304195
2022-04-13,297890
2022-04-14,299435
2022-04-15,134090
2022-04-16,288700
2022-04-17,115625
2022-04-18,127650
2022-04-19,312280
2022-04-20,290475
2022-04-21,286640
2022-04-22,316750
2022-04-23,237620
2022-04-24,196880
2022-04-25,291070
2022-04-26,315070
2022-04-27,316240
2022-04-28,299065
2022-04-29,325340
2022-04-30,231040
2022-05-01,181170
