Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***96046,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:00,,50 CAMBRIDGE AVE,,,ON,November,0
***15501,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:01,,4700 JANE ST,,,ON,November,0
***16924,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:01,NR,4 FISHER ST,,,ON,November,0
***81966,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:02,,415 WILLOWDALE AVE,,,ON,November,0
***39279,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,163 DYNEVOR RD,,,ON,November,0
***39280,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,163 DYNEVOR RD,,,ON,November,0
***83471,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:02,NR,242 QUEEN ST W,,,ON,November,0
***23068,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:02,AT,16 BONNYCASTLE ST,,,ON,November,0
***42503,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:02,NR,242 QUEEN ST W,,,ON,November,0
***48091,2022-11-26,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:03,NR,555 RICHMOND ST W,,,ON,November,0
***76466,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:04,,2000 SHEPPARD AVE W,,,ON,November,0
***96047,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:04,,50 CAMBRIDGE AVE,,,ON,November,0
***04403,2022-11-26,134,PARK-SIGNED HWY-PUBLIC LANE,40,00:04,R/O,577 KING ST W,,,ON,November,0
***39281,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,NR,148 DYNEVOR RD,,,ON,November,0
***42504,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:04,NR,313 QUEEN ST W,,,ON,November,0
***81967,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:05,,415 WILLOWDALE AVE,,,ON,November,0
***39282,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,140 DYNEVOR RD,,,ON,November,0
***39283,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,140 DYNEVOR RD,,,ON,November,0
