tag,issue_date,code,description,fine_amount,issue_time,proximity,address,proximity_optional,address_optional,province
***96046,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:00,,50 CAMBRIDGE AVE,,,ON
***15501,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:01,,4700 JANE ST,,,ON
***16924,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:01,NR,4 FISHER ST,,,ON
***81966,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:02,,415 WILLOWDALE AVE,,,ON
***39279,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,163 DYNEVOR RD,,,ON
***39280,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,163 DYNEVOR RD,,,ON
***83471,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:02,NR,242 QUEEN ST W,,,ON
***23068,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:02,AT,16 BONNYCASTLE ST,,,ON
***42503,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:02,NR,242 QUEEN ST W,,,ON
***48091,2022-11-26,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:03,NR,555 RICHMOND ST W,,,ON
***76466,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:04,,2000 SHEPPARD AVE W,,,ON
***96047,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:04,,50 CAMBRIDGE AVE,,,ON
***04403,2022-11-26,134,PARK-SIGNED HWY-PUBLIC LANE,40,00:04,R/O,577 KING ST W,,,ON
***39281,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,NR,148 DYNEVOR RD,,,ON
***42504,2022-11-26,192,STAND SIGNED TRANSIT STOP,150,00:04,NR,313 QUEEN ST W,,,ON
***81967,2022-11-26,3,PARK ON PRIVATE PROPERTY,30,00:05,,415 WILLOWDALE AVE,,,ON
***39282,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,140 DYNEVOR RD,,,ON
***39283,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,140 DYNEVOR RD,,,ON
***42237,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,282 INDIAN ROAD CRES,,,ON
***56337,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,1 CLINTON ST,,,ON
***92837,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,14 BOULTON AVE,,,ON
***56338,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,1 CLINTON ST,,,ON
***42238,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,NR,302 INDIAN ROAD CRES,,,ON
***92838,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,OPP,17 BOULTON AVE,,,QC
***41380,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,OPP,2 PARKE ST,,,ON
***56339,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,NR,3 CLINTON ST,,,ON
***92839,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,OPP,59 BOULTON AVE,,,ON
***56340,2022-11-26,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,NR,6 GORE ST,,,ON
***52299,2022-11-26,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:10,NR,486 QUEEN ST W,,,NY
