Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***02678,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:39,,75 THE DONWAY W,,,ON,November,1
***41612,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:39,AT,480 ADELAIDE ST W,,,ON,November,1
***01770,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:39,NR,38 PHILPOTT GDNS,,,ON,November,1
***60197,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:39,NR,393 ARLINGTON AVE,,,ON,November,1
***98515,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:39,NR,320 INDIAN RD,,,ON,November,1
***16849,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:39,AT,608 RICHMOND ST W,,,ON,November,1
***46062,2022-11-20,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,01:40,NR,461 KING ST W,,,ON,November,1
***46063,2022-11-20,415,PARK COMMERC LOAD ZONE NOT LDG,40,01:40,NR,461 KING ST W,,,ON,November,1
***67444,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:40,NR,54 MCGILL ST,,,ON,November,1
***92371,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:40,NR,41 DUNDONALD ST,,,ON,November,1
***16850,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:40,AT,608 RICHMOND ST W,,,ON,November,1
***16851,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:40,AT,608 RICHMOND ST W,,,ON,November,1
***46086,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:41,,21 LAWREN HARRIS SQUARE,,,ON,November,1
***41613,2022-11-20,384,STOP VEH OTR THN BCYCL-BYCL LN,150,01:41,NR,473 ADELAIDE ST W,,,ON,November,1
***01771,2022-11-20,29,PARK PROHIBITED TIME NO PERMIT,30,01:41,NR,10 CARNAHAN TER,,,ON,November,1
***46064,2022-11-20,415,PARK COMMERC LOAD ZONE NOT LDG,40,01:41,NR,461 KING ST W,,,ON,November,1
***79374,2022-11-20,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,01:41,NR,580 KING ST W,,,QC,November,1
***16852,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:41,AT,608 RICHMOND ST W,,,ON,November,1
***16853,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:42,AT,608 RICHMOND ST W,,,ON,November,1
***16854,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:42,AT,608 RICHMOND ST W,,,ON,November,1
***25162,2022-11-20,3,PARK ON PRIVATE PROPERTY,30,01:43,,4001 ESLIE ST,,,ON,November,1
