Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***43946,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:01,,150 LONG BRANCH AVE,,,ON,November,0
***30994,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:01,NR,613 KING ST W,,,ON,November,0
***30930,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,1331 DUNDAS ST W,,,QC,November,0
***35015,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:02,NR,25 HAYDEN ST,,,ON,November,0
***97647,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:03,NR,1560 YONGE ST,,,ON,November,0
***87879,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,OPP,113 FULTON AVE,,,ON,November,0
***43947,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:05,,150 LONG BRANCH AVE,,,ON,November,0
***70772,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,22 MC CAUL ST,,,ON,November,0
***72291,2022-11-24,370,STAND UNAUTH VEH. CAR SHARE,60,00:05,E/S,JORDAN ST,S/O,KING ST W,ON,November,0
***97648,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:05,NR,1560 YONGE ST,,,ON,November,0
***97649,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:05,NR,1560 YONGE ST,,,ON,November,0
***72292,2022-11-24,370,STAND UNAUTH VEH. CAR SHARE,60,00:06,E/S,JORDAN ST,S/O,KING ST W,QC,November,0
***30931,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:06,NR,212 OSSINGTON AVE,,,ON,November,0
***30932,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,221 OSSINGTON AVE,,,ON,November,0
***56596,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:07,NR,26 DUNCAN ST,,,ON,November,0
***32897,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***70773,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,NR,22 MC CAUL ST,,,ON,November,0
***97650,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:07,NR,1560 YONGE ST,,,ON,November,0
***20042,2022-11-24,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,00:08,NR,3 GEORGINA GT,,,ON,November,0
***32898,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***30933,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,NR,198 OSSINGTON AVE,,,ON,November,0
***30995,2022-11-24,415,PARK COMMERC LOAD ZONE NOT LDG,40,00:08,NR,461 KING ST W,,,ON,November,0
***32899,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***30934,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,NR,180 OSSINGTON AVE,,,ON,November,0
***32900,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***70774,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,22 MC CAUL ST,,,ON,November,0
***87880,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,32 FULTON AVE,,,ON,November,0
***78461,2022-11-24,347,PARK IN A FIRE ROUTE,250,00:11,,3101 WESTON RD,,,ON,November,0
***43948,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:11,,150 LONG BRANCH AVE,,,ON,November,0
***70775,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:11,NR,22 MC CAUL ST,,,ON,November,0
***30935,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:11,NR,145 OSSINGTON AVE,,,ON,November,0
***78462,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:12,,3101 WESTON RD,,,ON,November,0
***32901,2022-11-24,336,PARK-FAIL TO DISPLAY PERMIT,30,00:12,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON,November,0
***30936,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:12,NR,132 OSSINGTON AVE,,,ON,November,0
***43949,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:13,,150 LONG BRANCH AVE,,,ON,November,0
***07511,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:13,NR,31 HOMEWOOD AVE,,,ON,November,0
