tag,issue_date,code,description,fine_amount,issue_time,proximity,address,proximity_optional,address_optional,province
***43946,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:01,,150 LONG BRANCH AVE,,,ON
***30994,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:01,NR,613 KING ST W,,,ON
***30930,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:02,NR,1331 DUNDAS ST W,,,QC
***35015,2022-11-24,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:02,NR,25 HAYDEN ST,,,ON
***97647,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:03,NR,1560 YONGE ST,,,ON
***87879,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,OPP,113 FULTON AVE,,,ON
***43947,2022-11-24,3,PARK ON PRIVATE PROPERTY,30,00:05,,150 LONG BRANCH AVE,,,ON
***70772,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,22 MC CAUL ST,,,ON
***72291,2022-11-24,370,STAND UNAUTH VEH. CAR SHARE,60,00:05,E/S,JORDAN ST,S/O,KING ST W,ON
***97648,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:05,NR,1560 YONGE ST,,,ON
***97649,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:05,NR,1560 YONGE ST,,,ON
***72292,2022-11-24,370,STAND UNAUTH VEH. CAR SHARE,60,00:06,E/S,JORDAN ST,S/O,KING ST W,QC
***30931,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:06,NR,212 OSSINGTON AVE,,,ON
***30932,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,221 OSSINGTON AVE,,,ON
***56596,2022-11-24,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:07,NR,26 DUNCAN ST,,,ON
***32897,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON
***70773,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,NR,22 MC CAUL ST,,,ON
***97650,2022-11-24,6,PARK-SIGNED HWY-EXC PERMT TIME,40,00:07,NR,1560 YONGE ST,,,ON
***20042,2022-11-24,14,PARK-OBSTRUCT (DRWAY/LANEWAY),50,00:08,NR,3 GEORGINA GT,,,ON
***32898,2022-11-24,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,N/S,LAPPIN AVE,E/O,EMERSON AVE,ON
