Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***28075,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:00,,90 EASTDALE AVE,,,ON,November,0
***83438,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:00,,15 COUGAR CT,,,ON,November,0
***55514,2022-11-22,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:00,S/S,ELM ST,E/O,BAY ST,ON,November,0
***32423,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:00,E/S,GLENDALE AVE,S/O,PARKDALE RD,ON,November,0
***78474,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:01,NR,19 GRANGE AVE,,,ON,November,0
***84737,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:01,NR,123 SPRUCE HILL RD,,,ON,November,0
***83439,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:02,,15 COUGAR CT,,,ON,November,0
***19463,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:03,,444 LUMSDEN AVE,,,ON,November,0
***78475,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,31 GRANGE AVE,,,ON,November,0
***84738,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,117 SPRUCE HILL RD,,,ON,November,0
***28221,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,224 WESTMOUNT AVE,,,ON,November,0
***32424,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,OPP,52 GLENDALE AVE,,,ON,November,0
***19464,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:04,,444 LUMSDEN AVE,,,ON,November,0
***42303,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,E/S,WALMER RD,S/O,DUPONT ST,BC,November,0
***04501,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,NR,35 FISHER ST,,,ON,November,0
***30601,2022-11-22,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,NR,42 CHARLES ST E,,,ON,November,0
***82136,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:05,AT,220 WOOLNER AVE,,,ON,November,0
***04502,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,29 FISHER ST,,,ON,November,0
***32425,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,OPP,30 GLENDALE AVE,,,ON,November,0
***19465,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:06,,444 LUMSDEN AVE,,,ON,November,0
***84739,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,75 SPRUCE HILL RD,,,ON,November,0
***42304,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,E/S,WALMER RD,S/O,DUPONT ST,ON,November,0
***55831,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,1761 DUNDAS ST E,,,ON,November,0
***83440,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:07,,15 COUGAR CT,,,ON,November,0
***78476,2022-11-22,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:07,NR,66 GRANGE AVE,,,ON,November,0
***27087,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,S/S,SHANLY ST,E/O,WESTMORELAND AVE,ON,November,0
***32426,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,OPP,26 GLENDALE AVE,,,ON,November,0
***19466,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:08,,444 LUMSDEN AVE,,,ON,November,0
