tag,issue_date,code,description,fine_amount,issue_time,proximity,address,proximity_optional,address_optional,province
***28075,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:00,,90 EASTDALE AVE,,,ON
***83438,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:00,,15 COUGAR CT,,,ON
***55514,2022-11-22,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:00,S/S,ELM ST,E/O,BAY ST,ON
***32423,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:00,E/S,GLENDALE AVE,S/O,PARKDALE RD,ON
***78474,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:01,NR,19 GRANGE AVE,,,ON
***84737,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:01,NR,123 SPRUCE HILL RD,,,ON
***83439,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:02,,15 COUGAR CT,,,ON
***19463,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:03,,444 LUMSDEN AVE,,,ON
***78475,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,31 GRANGE AVE,,,ON
***84738,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,117 SPRUCE HILL RD,,,ON
***28221,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,NR,224 WESTMOUNT AVE,,,ON
***32424,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,OPP,52 GLENDALE AVE,,,ON
***19464,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:04,,444 LUMSDEN AVE,,,ON
***42303,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,E/S,WALMER RD,S/O,DUPONT ST,BC
***04501,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:04,NR,35 FISHER ST,,,ON
***30601,2022-11-22,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,NR,42 CHARLES ST E,,,ON
***82136,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:05,AT,220 WOOLNER AVE,,,ON
***04502,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,29 FISHER ST,,,ON
***32425,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,OPP,30 GLENDALE AVE,,,ON
***19465,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:06,,444 LUMSDEN AVE,,,ON
***84739,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,75 SPRUCE HILL RD,,,ON
***42304,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,E/S,WALMER RD,S/O,DUPONT ST,ON
***55831,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,NR,1761 DUNDAS ST E,,,ON
***83440,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:07,,15 COUGAR CT,,,ON
***78476,2022-11-22,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:07,NR,66 GRANGE AVE,,,ON
***27087,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,S/S,SHANLY ST,E/O,WESTMORELAND AVE,ON
***32426,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,OPP,26 GLENDALE AVE,,,ON
***19466,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:08,,444 LUMSDEN AVE,,,ON
***28222,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,NR,224 WESTMOUNT AVE,,,ON
***42305,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,E/S,WALMER RD,S/O,BERNARD AVE,ON
***82137,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:08,AT,220 WOOLNER AVE,,,ON
***04503,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:08,NR,13 FISHER ST,,,ON
***78477,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,NR,60 GRANGE AVE,,,ON
***84740,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:09,NR,5 SPRUCE HILL RD,,,ON
***19623,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,N/S,DURHAM AVE,W/O,WINNETT AVE,ON
***04504,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,NR,11 FISHER ST,,,ON
***27088,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,S/S,SHANLY ST,W/O,WESTMORELAND AVE,ON
***62110,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:10,,2899 STEELES AVE WEST,,,ON
***27677,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:10,,15 MARTHA EATON WAY,,,ON
***83441,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:10,,15 COUGAR CT,,,ON
***78478,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,60 GRANGE AVE,,,ON
***55515,2022-11-22,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:10,N/S,ELM ST,W/O,YONGE ST,ON
***55832,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,113 HIGHFIELD RD,,,ON
***82138,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:10,AT,220 WOOLNER AVE,,,ON
***01281,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,27 TYNDALL AVE,,,ON
***04505,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:10,NR,7 FISHER ST,,,ON
***32427,2022-11-22,30,STOP-(ON/OVER) (SIDEWK/FTPATH),150,00:10,E/S,GLENDALE AVE,S/O,PARKDALE RD,ON
***82139,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:11,AT,220 WOOLNER AVE,,,ON
***04506,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:11,NR,1 FISHER ST,,,QC
***84741,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:12,NR,81 BEECH AVE,,,ON
***55833,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:13,NR,129 HIGHFIELD RD,,,ON
***32428,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:13,S/S,PARKDALE RD,E/O,GLENDALE AVE,ON
***83442,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:14,,15 COUGAR CT,,,ON
***78479,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,NR,30 HURON ST,,,ON
***19624,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:14,OPP,411 ARLINGTON AVE,,,ON
***48875,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,NR,55 TWELFTH ST,,,ON
***04507,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,NR,10 PARR ST,,,ON
***32429,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:14,S/S,PARKDALE RD,W/O,SUNNYSIDE AVE,ON
***32430,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:15,S/S,PARKDALE RD,W/O,SUNNYSIDE AVE,ON
***84742,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:16,NR,109 BEECH AVE,,,ON
***19625,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:16,NR,403 ARLINGTON AVE,,,ON
***42306,2022-11-22,336,PARK-FAIL TO DISPLAY PERMIT,30,00:16,N/S,BERNARD AVE,E/O,BRUNSWICK AVE,ON
***48876,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:16,NR,49 TWELFTH ST,,,ON
***19467,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:17,,444 LUMSDENA VE,,,ON
***01282,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:17,NR,20 SPENCER AVE,,,ON
***19626,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:18,NR,403 ARLINGTON AVE,,,ON
***01283,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:18,NR,20 SPENCER AVE,,,ON
***84743,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:19,E/S,BEECH AVE,S/O,CEDAR AVE,ON
***19627,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:19,OPP,403 ARLINGTON AVE,,,ON
***55834,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:19,NR,1727 DUNDAS ST E,,,BC
***04255,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:20,,23 WEST POINT LANE,,,ON
***19628,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:20,NR,397 ARLINGTON AVE,,,ON
***82140,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:20,NR,13 BUSHEY AVE,,,ON
***04508,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:20,NR,250 GLADSTONE AVE,,,ON
***19629,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:21,NR,397 ARLINGTON AVE,,,ON
***90888,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:21,NR,11 SHERWOOD AVE,,,ON
***01284,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:21,NR,47 SPENCER AVE,,,ON
***82141,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,NR,19 BUSHEY AVE,,,ON
***04509,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,NR,312 GLADSTONE AVE,,,ON
***32431,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:22,OPP,65 COE HILL DR,,,ON
***19630,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:23,NR,389 ARLINGTON AVE,,,ON
***48877,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:23,NR,35 TENTH ST,,,ON
***55835,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:23,NR,3 BILLINGS AVE,,,ON
***01285,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:23,NR,47 SPENCER AVE,,,ON
***82142,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:24,NR,63 BUSHEY AVE,,,ON
***04510,2022-11-22,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:24,NR,36 RUSHOLME PARK CRES,,,ON
***83535,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:25,,50 PANORAMA COURT,,,ON
***32432,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:25,NR,100 COE HILL DR,,,ON
***05619,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:26,,3 GLAMORGAN AVE,,,ON
***48878,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,NR,117 NINTH ST,,,ON
***01286,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,NR,65 SPENCER AVE,,,ON
***04511,2022-11-22,29,PARK PROHIBITED TIME NO PERMIT,30,00:27,NR,10 RUSHOLME PARK CRES,,,ON
***83537,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:28,,50 PANORAMA COURT,,,ON
***83538,2022-11-22,3,PARK ON PRIVATE PROPERTY,30,00:28,,46 PANORAMA COURT,,,ON
