Tag,Issue_Date,Code,Description,Fine Amount,Issue Time,Proximity,Address,Proximity_optional,Address_optional,Province,Month,Hour
***55562,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:00,N/S,ELM ST,W/O,YONGE ST,ON,November,0
***30645,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:00,NR,25 HAYDEN ST,,,ON,November,0
***83469,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:01,,45 LA ROSE AVE,,,ON,November,0
***30887,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:01,NR,798 OSSINGTON AVE,,,ON,November,0
***92275,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:02,NR,126 D'ARCY ST,,,ON,November,0
***07640,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:02,NR,50 LYNN WILLIAMS ST,,,ON,November,0
***30646,2022-11-23,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:02,NR,35 HAYDEN ST,,,OH,November,0
***30888,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:02,NR,798 OSSINGTON AVE,,,ON,November,0
***85563,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:03,,2200 LAKESHORE BLVD W,,,PQ,November,0
***28242,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:03,NR,18 BRISTOL AVE,,,ON,November,0
***28723,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,W/S,THORNHILL AVE,N/O,RAYMOND AVE,ON,November,0
***55563,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,S/S,EDWARD ST,W/O,YONGE ST,ON,November,0
***35848,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,W/S,TRILLER AVE,S/O,QUEEN ST W,ON,November,0
***96114,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:05,,21 PIRANDELLO ST,,,ON,November,0
***92276,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,87 D'ARCY ST,,,ON,November,0
