tag,issue_date,code,description,fine_amount,issue_time,proximity,address,proximity_optional,address_optional,province
***55562,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:00,N/S,ELM ST,W/O,YONGE ST,ON
***30645,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:00,NR,25 HAYDEN ST,,,ON
***83469,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:01,,45 LA ROSE AVE,,,ON
***30887,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:01,NR,798 OSSINGTON AVE,,,ON
***92275,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:02,NR,126 D'ARCY ST,,,ON
***07640,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:02,NR,50 LYNN WILLIAMS ST,,,ON
***30646,2022-11-23,15,PARK-WITHIN 3M OF FIRE HYDRANT,100,00:02,NR,35 HAYDEN ST,,,OH
***30888,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:02,NR,798 OSSINGTON AVE,,,ON
***85563,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:03,,2200 LAKESHORE BLVD W,,,PQ
***28242,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:03,NR,18 BRISTOL AVE,,,ON
***28723,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:03,W/S,THORNHILL AVE,N/O,RAYMOND AVE,ON
***55563,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,S/S,EDWARD ST,W/O,YONGE ST,ON
***35848,2022-11-23,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,00:04,W/S,TRILLER AVE,S/O,QUEEN ST W,ON
***96114,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:05,,21 PIRANDELLO ST,,,ON
***92276,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,87 D'ARCY ST,,,ON
***08077,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,NR,31 HEYWORTH CRES,,,ON
***28724,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:05,W/S,THORNHILL AVE,N/O,RAYMOND AVE,ON
***30647,2022-11-23,8,STAND VEH.-PROHIBIT TIME/DAY,100,00:05,NR,17 ISABELLA ST,,,FL
***83470,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:06,,45 LA ROSE AVE,,,ON
***28725,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:06,W/S,THORNHILL AVE,S/O,BABY POINT RD,ON
***08078,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:07,NR,35 HEYWORTH CRES,,,AZ
***28243,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:07,NR,72 BRISTOL AVE,,,ON
***86188,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:07,AT,1154 WILSON AVE,,,ON
***30889,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:07,NR,186 OSSINGTON AVE,,,ON
***96116,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:08,,21 PIRANDELLO ST,,,ON
***86189,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:08,AT,1154 WILSON AVE,,,ON
***76486,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:09,,4750 JANE ST,,,ON
***95578,2022-11-23,37,PARK HEAVY (TRUCK/VEH.) TM/DY,90,00:09,NR,62 SHADY HOLLOW DR,,,ON
***28726,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:09,S/S,RAYMOND AVE,W/O,JANE ST,ON
***76487,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:10,,4750 JANE ST,,,ON
***96115,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:10,,21 PIRANDELLO ST,,,ON
***28244,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:10,NR,25 BRISTOL AVE,,,ON
***28727,2022-11-23,29,PARK PROHIBITED TIME NO PERMIT,30,00:11,NR,27 RAYMOND AVE,,,ON
***66252,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:11,AT,238 WELLESLEY ST E,,,ON
***86190,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:11,AT,1154 WILSON AVE,,,ON
***24434,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:12,E/S,TOMMY DOUGLAS GDNS,S/O,ROSELAWN AVE,ON
***24435,2022-11-23,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,00:12,E/S,TOMMY DOUGLAS GDNS,S/O,ROSELAWN AVE,ON
***66253,2022-11-23,3,PARK ON PRIVATE PROPERTY,30,00:12,AT,238 WELLESLEY ST E,,,ON
***30890,2022-11-23,192,STAND SIGNED TRANSIT STOP,150,00:12,NR,1130 QUEEN ST W,,,ON
